rank,university,country,city
251,Universiti Teknologi Petronas (UTP),Malaysia,Seri Iskandar
251,University of Strathclyde,United Kingdom,Glasgow
253,Taylor's University (Malaysia),Malaysia,Subang Jaya
253,Technische Universität Darmstadt,Germany,Darmstadt
255,Bandung Institute of Technology (ITB),Indonesia,Bandung
256,Harbin Institute of Technology,China (Mainland),Harbin
257,Tianjin University,China (Mainland),Tianjin
257,Université Paris 1 Panthéon-Sorbonne,France,Paris
259,Beijing Institute of Technology,China (Mainland),Beijing
259,Universidad Nacional de Colombia,Colombia,Bogotá
261,University of Canterbury,New Zealand,Christchurch
262,University of Aberdeen,United Kingdom,Aberdeen
262,University of Navarra,Spain,Pamplona
262,University of Surrey,United Kingdom,Guildford
265,Charles University,Czechia,Prague
265,Universitat Pompeu Fabra,Spain,Barcelona
267,Norwegian University of Science And Technology,Norway,Trondheim
268,Griffith University,Australia,Brisbane
269,Middle East Technical University,Türkiye,Ankara
269,UCSI University,Malaysia,Kuala Lumpur
271,University of Warsaw,Poland,Warsaw
272,American University of Sharjah (AUS),United Arab Emirates,Sharjah
272,North Carolina State University,United States of America,Raleigh
272,Universität zu Köln,Germany,Cologne
275,University of Virginia,United States of America,Charlottesville
276,Sun Yat-sen University,China (Mainland),Guangzhou
276,University of Milan,Italy,Milan
278,University of Sussex,United Kingdom,Brighton
279,Radboud University Nijmegen,Netherlands,Nijmegen
280,University of Antwerp,Belgium,Antwerp
281,University of Pittsburgh,United States of America,Pittsburgh
281,University of Waikato,New Zealand,Hamilton
283,Dalhousie University,Canada,Halifax
284,University of Galway,Ireland,Galway
285,Georgetown University,United States of America,"Washington, D.C."
285,University of Macau,"Macao SAR, China",Macau
287,Heriot-Watt University,United Kingdom,Edinburgh
287,Universitas Airlangga,Indonesia,Surabaya
287,University of Arizona,United States of America,Tucson
287,University of Bergen,Norway,Bergen
291,University of The Witwatersrand,South Africa,Johannesburg
292,Swansea University,United Kingdom,Swansea
293,"University of California, Irvine",United States of America,Irvine
294,Case Western Reserve University,United States of America,Cleveland
294,Swinburne University of Technology,Australia,Melbourne
294,University of Notre Dame,United States of America,Notre Dame
294,Vrije Universiteit Brussel (VUB),Belgium,Brussels
298,Istanbul Technical University,Türkiye,Istanbul
299,University of Colorado Boulder,United States of America,Boulder
300,Université Paris Cité,France,Paris

